Symbol,Date,Open,High,Low,Close,Volume
JSBL,14-Jun-2012,5.25,5.32,5.20,5.21,309816
JSBL,15-Jun-2012,5.20,5.70,5.20,5.43,1578414
JSBL,18-Jun-2012,5.63,5.63,5.15,5.22,520531
JSBL,19-Jun-2012,5.18,5.34,5.15,5.29,532861
JSBL,20-Jun-2012,5.16,5.35,5.16,5.26,259663
JSBL,21-Jun-2012,5.35,5.35,5.09,5.12,609588
JSBL,22-Jun-2012,5.11,5.28,5.11,5.20,352529
JSBL,25-Jun-2012,5.29,5.29,5.10,5.14,211385
JSBL,26-Jun-2012,5.24,5.24,5.00,5.05,654111
JSBL,27-Jun-2012,5.10,5.26,5.00,5.17,465683
JSBL,28-Jun-2012,5.20,5.30,5.01,5.09,794579
JSBL,29-Jun-2012,5.20,5.20,5.01,5.10,497907
JSBL,02-Jul-2012,5.19,5.38,5.13,5.33,610383
JSBL,03-Jul-2012,5.40,5.44,5.26,5.30,299460
JSBL,04-Jul-2012,5.40,5.44,5.25,5.28,243354
JSBL,05-Jul-2012,5.34,5.39,5.16,5.18,231768
JSBL,06-Jul-2012,5.17,5.43,5.17,5.26,260849
JSBL,09-Jul-2012,5.20,5.50,5.20,5.33,358948
JSBL,10-Jul-2012,5.30,5.49,5.26,5.34,133818
JSBL,11-Jul-2012,5.31,5.48,5.15,5.22,290713
JSBL,12-Jul-2012,5.30,5.39,5.20,5.23,253734
JSBL,13-Jul-2012,5.34,5.41,5.16,5.17,182748
JSBL,16-Jul-2012,5.28,5.30,5.16,5.17,63944
JSBL,17-Jul-2012,5.20,5.35,5.16,5.28,524790
JSBL,18-Jul-2012,5.38,5.69,5.28,5.58,1773707
JSBL,19-Jul-2012,5.57,5.65,5.45,5.56,1532045
JSBL,20-Jul-2012,5.31,5.56,5.31,5.40,708344
JSBL,23-Jul-2012,5.40,5.40,5.31,5.32,370500
JSBL,24-Jul-2012,5.40,5.40,5.34,5.35,104500
JSBL,25-Jul-2012,5.40,5.55,5.40,5.51,245000
JSBL,26-Jul-2012,5.58,5.60,5.42,5.50,261000
JSBL,27-Jul-2012,5.45,5.47,5.37,5.45,164000
JSBL,30-Jul-2012,5.31,5.42,5.30,5.40,334500
JSBL,31-Jul-2012,5.38,5.60,5.37,5.55,445000
JSBL,01-Aug-2012,5.55,5.60,5.45,5.52,296500
JSBL,02-Aug-2012,5.50,5.55,5.32,5.36,171500
JSBL,03-Aug-2012,5.47,5.49,5.31,5.33,76000
JSBL,06-Aug-2012,5.48,5.55,5.20,5.21,189500
JSBL,07-Aug-2012,5.30,5.30,5.10,5.11,226500
JSBL,08-Aug-2012,5.06,5.24,5.06,5.18,114500
JSBL,09-Aug-2012,5.25,5.30,5.10,5.14,619500
JSBL,10-Aug-2012,5.29,5.30,5.10,5.10,71500
JSBL,13-Aug-2012,5.10,5.35,5.00,5.07,481500
JSBL,15-Aug-2012,5.10,5.26,5.06,5.21,526500
JSBL,16-Aug-2012,5.20,5.40,5.20,5.23,636500
JSBL,23-Aug-2012,5.25,5.42,5.20,5.27,1127000
JSBL,24-Aug-2012,5.21,5.65,5.20,5.43,2044500
JSBL,27-Aug-2012,5.50,5.80,5.48,5.60,4490000
JSBL,28-Aug-2012,5.74,5.74,5.43,5.60,3557000
JSBL,29-Aug-2012,5.52,5.60,5.20,5.30,1618000
JSBL,30-Aug-2012,5.40,5.40,5.11,5.17,760000
JSBL,31-Aug-2012,5.20,5.32,5.15,5.20,1375000
JSBL,03-Sep-2012,5.20,5.30,5.15,5.19,689000
JSBL,04-Sep-2012,5.30,5.30,5.10,5.13,317000
JSBL,05-Sep-2012,5.19,5.24,5.10,5.14,503500
JSBL,06-Sep-2012,5.29,5.55,5.20,5.37,2422000
JSBL,07-Sep-2012,5.48,5.88,5.33,5.76,4941000
JSBL,10-Sep-2012,5.85,6.35,5.85,6.20,15507000
JSBL,11-Sep-2012,6.45,6.49,5.90,5.99,10042500
JSBL,12-Sep-2012,6.05,6.10,5.80,5.92,2436000
JSBL,13-Sep-2012,5.94,5.95,5.71,5.73,942500
JSBL,14-Sep-2012,5.88,5.95,5.75,5.85,1659500
JSBL,17-Sep-2012,5.82,6.04,5.82,5.89,785000
