Symbol,Date,Open,High,Low,Close,Volume
MCB,11-Sep-2007,332.40,333.90,325.00,328.00,806300
MCB,12-Sep-2007,328.50,332.00,326.05,331.50,709400
MCB,13-Sep-2007,329.70,337.05,326.00,327.45,4312700
MCB,14-Sep-2007,327.50,328.00,319.05,320.00,1250800
MCB,17-Sep-2007,321.50,321.95,317.00,320.90,1341300
MCB,18-Sep-2007,322.00,331.50,322.00,328.00,3333700
MCB,19-Sep-2007,331.00,331.00,320.75,322.00,3592600
MCB,20-Sep-2007,323.15,326.60,317.05,317.95,2321600
MCB,21-Sep-2007,316.05,324.50,315.10,322.00,2489100
MCB,24-Sep-2007,319.50,328.50,319.50,326.15,3405700
MCB,25-Sep-2007,326.50,329.50,324.10,324.95,3339700
MCB,26-Sep-2007,326.40,334.00,325.00,329.75,5984100
MCB,27-Sep-2007,329.80,336.00,329.00,334.50,5259700
MCB,28-Sep-2007,334.80,335.40,330.50,333.00,2324100
MCB,01-Oct-2007,339.40,349.65,337.90,349.65,4133800
MCB,02-Oct-2007,356.00,365.00,354.50,363.50,5521800
MCB,03-Oct-2007,363.50,371.00,355.60,365.50,5657100
MCB,04-Oct-2007,364.00,369.40,362.00,363.00,3940300
MCB,05-Oct-2007,366.00,372.40,361.50,363.10,3761300
MCB,08-Oct-2007,371.00,381.25,366.00,381.25,4627500
MCB,09-Oct-2007,385.90,394.00,383.65,386.85,6295000
MCB,11-Oct-2007,384.00,385.85,372.00,372.65,5440000
MCB,17-Oct-2007,372.00,384.00,361.15,375.50,8783900
MCB,18-Oct-2007,378.00,383.40,376.10,378.00,3941700
MCB,19-Oct-2007,372.00,382.00,372.00,376.50,3710800
MCB,22-Oct-2007,381.00,387.40,377.00,377.00,7434400
MCB,23-Oct-2007,377.00,385.70,376.00,379.90,4797600
MCB,24-Oct-2007,379.90,380.00,363.15,364.00,7173100
MCB,25-Oct-2007,362.00,370.00,361.00,368.80,1549900
MCB,26-Oct-2007,368.00,377.50,367.50,373.20,2377000
MCB,29-Oct-2007,374.00,378.50,362.50,363.00,2654900
MCB,30-Oct-2007,362.05,367.70,357.75,362.00,1918800
MCB,31-Oct-2007,363.00,380.10,362.00,380.10,2990600
MCB,01-Nov-2007,385.50,388.05,373.30,380.50,5724700
MCB,02-Nov-2007,376.00,399.25,376.00,393.50,7632800
MCB,05-Nov-2007,389.00,391.50,373.85,373.85,9358200
MCB,06-Nov-2007,362.00,364.85,355.20,355.20,6837700
MCB,07-Nov-2007,352.00,363.00,347.00,354.50,6980500
MCB,08-Nov-2007,352.50,353.80,338.05,344.00,3667100
MCB,12-Nov-2007,346.00,357.25,346.00,353.50,4624700
MCB,13-Nov-2007,353.00,366.75,351.10,359.15,9510200
MCB,14-Nov-2007,360.85,365.30,346.00,350.00,4789400
MCB,15-Nov-2007,349.00,354.75,337.60,344.00,4481300
MCB,16-Nov-2007,345.50,347.40,339.00,341.95,4187700
MCB,19-Nov-2007,342.00,344.50,329.50,338.00,4220600
MCB,20-Nov-2007,340.00,347.80,338.50,344.90,3880300
MCB,21-Nov-2007,349.00,356.50,347.50,355.95,7178300
MCB,22-Nov-2007,356.75,361.00,353.00,354.10,3535900
MCB,23-Nov-2007,356.15,364.40,356.15,363.75,4753800
MCB,26-Nov-2007,367.00,372.50,361.10,362.95,4348200
MCB,27-Nov-2007,363.60,368.80,359.50,363.65,2454700
MCB,28-Nov-2007,365.75,367.90,362.05,363.50,2193400
MCB,29-Nov-2007,364.25,367.50,363.80,365.40,455300
MCB,30-Nov-2007,368.00,383.65,367.00,372.30,3557500
MCB,03-Dec-2007,380.00,385.85,377.10,381.00,1609100
MCB,04-Dec-2007,379.00,386.40,379.00,381.00,1049800
MCB,06-Dec-2007,381.00,397.40,381.00,397.40,3668500
MCB,07-Dec-2007,406.00,410.80,397.55,401.90,4185300
MCB,10-Dec-2007,407.95,413.75,406.05,412.40,3075800
