True,Date
36.2,26-Oct-2018
35.66,29-Oct-2018
37.48,30-Oct-2018
36.0,31-Oct-2018
36.16,01-Nov-2018
36.0,02-Nov-2018
36.0,05-Nov-2018
35.5,06-Nov-2018
35.9,07-Nov-2018
36.75,08-Nov-2018
35.6,09-Nov-2018
35.84,12-Nov-2018
35.3,13-Nov-2018
35.66,14-Nov-2018
35.05,15-Nov-2018
35.0,16-Nov-2018
34.66,19-Nov-2018
34.9,20-Nov-2018
35.45,22-Nov-2018
34.0,23-Nov-2018
34.39,26-Nov-2018
34.43,27-Nov-2018
34.38,28-Nov-2018
34.41,29-Nov-2018
34.99,30-Nov-2018
33.56,03-Dec-2018
32.1,04-Dec-2018
33.5,05-Dec-2018
33.15,06-Dec-2018
32.6,07-Dec-2018
34.5,10-Dec-2018
34.5,11-Dec-2018
34.5,12-Dec-2018
34.11,13-Dec-2018
34.2,14-Dec-2018
35.88,17-Dec-2018
34.12,18-Dec-2018
34.45,19-Dec-2018
34.01,20-Dec-2018
34.8,21-Dec-2018
33.99,24-Dec-2018
35.45,26-Dec-2018
35.65,27-Dec-2018
35.25,28-Dec-2018
35.4,31-Dec-2018
35.98,01-Jan-2019
35.12,02-Jan-2019
35.0,03-Jan-2019
34.5,04-Jan-2019
34.5,07-Jan-2019
34.5,08-Jan-2019
34.25,09-Jan-2019
34.1,10-Jan-2019
34.45,11-Jan-2019
34.8,14-Jan-2019
34.5,15-Jan-2019
34.41,16-Jan-2019
34.3,17-Jan-2019
34.75,18-Jan-2019
34.9,21-Jan-2019
34.59,22-Jan-2019
34.66,23-Jan-2019
34.25,24-Jan-2019
34.04,25-Jan-2019
34.49,28-Jan-2019
34.01,29-Jan-2019
34.15,30-Jan-2019
34.49,31-Jan-2019
34.0,01-Feb-2019
34.0,04-Feb-2019
33.98,06-Feb-2019
33.75,07-Feb-2019
33.4,08-Feb-2019
34.0,11-Feb-2019
33.57,12-Feb-2019
33.65,13-Feb-2019
33.5,14-Feb-2019
33.2,15-Feb-2019
33.15,18-Feb-2019
32.3,19-Feb-2019
32.85,20-Feb-2019
32.5,21-Feb-2019
32.5,22-Feb-2019
32.51,25-Feb-2019
32.66,26-Feb-2019
31.15,27-Feb-2019
30.5,28-Feb-2019
32.0,01-Mar-2019
32.1,04-Mar-2019
33.15,05-Mar-2019
32.89,06-Mar-2019
32.1,07-Mar-2019
32.49,08-Mar-2019
32.2,11-Mar-2019
32.45,12-Mar-2019
31.65,13-Mar-2019
31.36,14-Mar-2019
31.25,15-Mar-2019
31.13,18-Mar-2019
30.0,19-Mar-2019
31.5,20-Mar-2019
31.0,21-Mar-2019
31.0,22-Mar-2019
31.9,25-Mar-2019
31.2,26-Mar-2019
31.0,27-Mar-2019
31.1,28-Mar-2019
31.5,29-Mar-2019
32.5,01-Apr-2019
32.7,02-Apr-2019
31.5,03-Apr-2019
31.01,04-Apr-2019
31.7,05-Apr-2019
30.1,08-Apr-2019
29.51,09-Apr-2019
29.49,10-Apr-2019
28.5,11-Apr-2019
29.98,12-Apr-2019
30.5,15-Apr-2019
30.1,16-Apr-2019
30.87,17-Apr-2019
30.0,18-Apr-2019
30.0,19-Apr-2019
29.4,22-Apr-2019
28.0,23-Apr-2019
27.3,24-Apr-2019
27.15,25-Apr-2019
27.25,26-Apr-2019
28.0,29-Apr-2019
27.68,30-Apr-2019
27.7,02-May-2019
27.9,03-May-2019
27.21,06-May-2019
26.2,07-May-2019
26.25,08-May-2019
25.5,09-May-2019
25.06,10-May-2019
25.5,13-May-2019
25.61,14-May-2019
26.0,15-May-2019
25.75,16-May-2019
25.0,17-May-2019
25.0,20-May-2019
25.25,21-May-2019
26.1,22-May-2019
27.5,23-May-2019
27.7,24-May-2019
26.5,27-May-2019
27.0,28-May-2019
27.88,29-May-2019
27.99,30-May-2019
27.7,03-Jun-2019
27.0,10-Jun-2019
26.05,11-Jun-2019
27.6,12-Jun-2019
27.2,13-Jun-2019
27.11,14-Jun-2019
27.02,17-Jun-2019
27.0,19-Jun-2019
26.75,20-Jun-2019
27.0,21-Jun-2019
26.75,24-Jun-2019
26.05,25-Jun-2019
26.0,26-Jun-2019
27.5,27-Jun-2019
28.4,28-Jun-2019
30.0,01-Jul-2019
29.5,02-Jul-2019
30.0,03-Jul-2019
30.49,04-Jul-2019
29.02,05-Jul-2019
28.75,08-Jul-2019
28.5,09-Jul-2019
27.53,10-Jul-2019
28.25,11-Jul-2019
27.7,12-Jul-2019
26.9,15-Jul-2019
27.0,16-Jul-2019
27.4,17-Jul-2019
26.05,18-Jul-2019
24.21,19-Jul-2019
24.7,22-Jul-2019
24.5,23-Jul-2019
25.0,24-Jul-2019
24.4,25-Jul-2019
25.0,26-Jul-2019
25.0,29-Jul-2019
24.62,30-Jul-2019
24.62,31-Jul-2019
24.27,01-Aug-2019
25.16,02-Aug-2019
26.67,05-Aug-2019
25.31,06-Aug-2019
25.69,07-Aug-2019
24.53,08-Aug-2019
24.7,09-Aug-2019
24.98,16-Aug-2019
26.11,19-Aug-2019
26.05,20-Aug-2019
25.76,21-Aug-2019
25.98,22-Aug-2019
25.8,23-Aug-2019
25.51,26-Aug-2019
25.25,27-Aug-2019
25.6,28-Aug-2019
25.5,29-Aug-2019
25.2,30-Aug-2019
78.01,18-Apr-2018
78.0,19-Apr-2018
77.0,20-Apr-2018
76.05,23-Apr-2018
78.89,24-Apr-2018
78.0,26-Apr-2018
77.5,27-Apr-2018
79.0,30-Apr-2018
79.0,02-May-2018
78.99,07-May-2018
82.95,08-May-2018
78.0,09-May-2018
78.5,10-May-2018
75.51,11-May-2018
77.0,14-May-2018
72.11,15-May-2018
72.5,16-May-2018
76.95,17-May-2018
76.25,21-May-2018
73.89,22-May-2018
75.5,23-May-2018
73.02,25-May-2018
76.95,28-May-2018
73.85,29-May-2018
75.0,31-May-2018
75.0,01-Jun-2018
72.45,04-Jun-2018
73.16,05-Jun-2018
75.61,06-Jun-2018
79.0,07-Jun-2018
76.5,11-Jun-2018
77.0,12-Jun-2018
81.98,13-Jun-2018
84.5,14-Jun-2018
89.0,19-Jun-2018
88.0,20-Jun-2018
82.0,21-Jun-2018
81.0,22-Jun-2018
81.0,25-Jun-2018
80.64,26-Jun-2018
81.0,27-Jun-2018
81.95,28-Jun-2018
81.5,29-Jun-2018
81.5,02-Jul-2018
85.8,03-Jul-2018
82.0,04-Jul-2018
82.5,05-Jul-2018
81.99,06-Jul-2018
81.01,09-Jul-2018
80.0,10-Jul-2018
81.5,11-Jul-2018
84.95,12-Jul-2018
88.0,13-Jul-2018
93.9,16-Jul-2018
90.0,17-Jul-2018
91.5,18-Jul-2018
92.99,19-Jul-2018
90.0,20-Jul-2018
91.0,23-Jul-2018
92.9,24-Jul-2018
92.0,26-Jul-2018
91.0,27-Jul-2018
91.25,30-Jul-2018
92.0,31-Jul-2018
88.09,01-Aug-2018
90.0,02-Aug-2018
90.0,03-Aug-2018
91.0,06-Aug-2018
92.0,07-Aug-2018
91.0,08-Aug-2018
91.02,09-Aug-2018
90.06,10-Aug-2018
90.5,13-Aug-2018
91.0,15-Aug-2018
91.0,16-Aug-2018
90.5,17-Aug-2018
92.5,20-Aug-2018
92.5,24-Aug-2018
93.1,27-Aug-2018
96.99,28-Aug-2018
94.5,29-Aug-2018
93.3,30-Aug-2018
93.5,31-Aug-2018
92.1,03-Sep-2018
92.2,04-Sep-2018
92.99,05-Sep-2018
92.5,06-Sep-2018
95.67,07-Sep-2018
92.5,10-Sep-2018
92.3,11-Sep-2018
93.5,12-Sep-2018
95.9,13-Sep-2018
94.25,14-Sep-2018
95.85,17-Sep-2018
86.95,18-Sep-2018
87.9,19-Sep-2018
90.0,24-Sep-2018
87.0,25-Sep-2018
88.0,26-Sep-2018
86.79,27-Sep-2018
89.0,28-Sep-2018
88.15,01-Oct-2018
91.45,02-Oct-2018
90.01,03-Oct-2018
90.0,04-Oct-2018
89.02,05-Oct-2018
88.2,08-Oct-2018
89.95,09-Oct-2018
94.0,10-Oct-2018
89.11,11-Oct-2018
90.95,12-Oct-2018
92.0,15-Oct-2018
92.0,16-Oct-2018
90.5,17-Oct-2018
91.99,18-Oct-2018
